"","CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","hours_per_week","income","education_cat","gender"
"7363","CS7367",49,"Government",10,"M","Unmarried","Service","White",40.5,54.96,"universitaria","m"
"7364","CS7368",36,"Self-Employed",10,"M","Husband","Service","White",50.5,39.08,"universitaria","f"
"7365","CS7369",25,"Private",10,"M","Wife","Blue-Collar","White",35.5,56.48,"universitaria","m"
"7366","CS7370",42,"Private",13,"D","Husband","Professional","White",40,49.72,"universitaria","m"
"7367","CS7371",47,"Self-Employed",15,"M","Not-in-family","Professional","White",50.5,49.91,"postuniversitaria","m"
"7368","CS7372",26,"Private",10,"M","Husband","Service","White",40.5,55.95,"universitaria","m"
"7369","CS7373",35,"Private",10,"M","Husband","White-Collar","White",58.5,56.84,"universitaria","m"
"7370","CS7374",37,"Private",9,"M","Husband","Blue-Collar","White",45.5,58.83,"secundaria","m"
"7371","CS7375",39,"Government",9,"S","Husband","Service","Amer-Indian-Eskimo",48,41.47,"secundaria","m"
"7372","CS7376",42,"Private",9,"M","Own-child","White-Collar","White",35.5,57.95,"secundaria","m"
"7373","CS7377",41,"Private",10,"D","Husband","Service","White",36.5,40.46,"universitaria","f"
"7374","CS7378",23,"Private",10,"D","Not-in-family","Service","White",24.5,36.16,"universitaria","f"
"7375","CS7379",31,"Government",9,"M","Own-child","Service","White",40.5,54.45,"secundaria","m"
"7376","CS7380",36,"Government",10,"M","Husband","Service","White",57.5,60.62,"universitaria","m"
"7377","CS7381",20,"Private",10,"S","Husband","Professional","White",25,38.4,"universitaria","f"
"7378","CS7382",36,"Private",10,"S","Unmarried","Blue-Collar","White",45,53.65,"universitaria","m"
"7379","CS7383",50,"Private",9,"M","Unmarried","Blue-Collar","White",50.5,52.51,"secundaria","m"
"7380","CS7384",37,"Private",9,"S","Husband","Blue-Collar","White",40.5,52.97,"secundaria","m"
"7381","CS7385",25,"Private",13,"S","Own-child","Blue-Collar","White",50,51.67,"universitaria","m"
"7382","CS7386",39,"Private",10,"D","Own-child","Service","White",60.5,39.72,"universitaria","f"
"7383","CS7387",32,"Private",9,"M","Unmarried","Blue-Collar","White",40.5,43.88,"secundaria","f"
"7384","CS7388",59,"Private",10,"W","Wife","White-Collar","White",35,44.27,"universitaria","f"
"7385","CS7389",29,"Private",13,"M","Not-in-family","Blue-Collar","White",45,56.63,"universitaria","m"
"7386","CS7390",50,"Private",9,"M","Husband","Blue-Collar","Black",40,44.02,"secundaria","m"
"7387","CS7391",42,"Private",11,"M","Husband","Sales","White",37,51.18,"universitaria","m"
"7388","CS7392",32,"Private",10,"D","Husband","Professional","White",40,51.16,"universitaria","m"
"7389","CS7393",48,"Private",12,"M","Not-in-family","Sales","White",40,53.12,"universitaria","m"
"7390","CS7394",20,"Private",9,"M","Husband","Blue-Collar","White",35.5,54.65,"secundaria","m"
"7391","CS7395",50,"Self-Employed",6,"D","Husband","Blue-Collar","White",45,48.11,"primaria","m"
"7392","CS7396",18,"Private",10,"S","Not-in-family","Blue-Collar","White",30,52.98,"universitaria","m"
"7393","CS7397",60,"Private",14,"S","Not-in-family","Professional","White",50.5,51.64,"postuniversitaria","m"
"7394","CS7398",60,"Private",10,"M","Not-in-family","Professional","White",40.5,53.94,"universitaria","m"
"7395","CS7399",42,"Government",14,"S","Husband","Professional","White",22.5,55.64,"postuniversitaria","m"
"7396","CS7400",49,"Private",9,"D","Not-in-family","Service","White",35.5,43.9,"secundaria","f"
"7397","CS7401",35,"Self-Employed",10,"M","Unmarried","Sales","White",40,40.44,"universitaria","f"
"7398","CS7402",30,"Self-Employed",12,"M","Wife","Sales","White",60,52.74,"universitaria","m"
"7399","CS7403",59,"Private",10,"M","Husband","White-Collar","White",40.5,56.42,"universitaria","m"
"7400","CS7404",24,"Self-Employed",9,"S","Husband","Service","Black",50,37.16,"secundaria","m"
"7401","CS7405",55,"Private",12,"D","Not-in-family","White-Collar","White",40.5,44.58,"universitaria","f"
"7402","CS7406",19,"Private",9,"S","Unmarried","White-Collar","White",20.5,43.75,"secundaria","f"
"7403","CS7407",39,"Private",9,"M","Own-child","Blue-Collar","White",40,55.45,"secundaria","m"
"7404","CS7408",48,"Private",10,"D","Husband","White-Collar","White",40.5,46.02,"universitaria","f"
"7405","CS7409",44,"Private",13,"M","Unmarried","Professional","White",40.5,59.91,"universitaria","m"
"7406","CS7410",21,"Private",10,"S","Husband","Blue-Collar","White",30.5,49.31,"universitaria","m"
"7407","CS7411",23,"Private",13,"S","Own-child","Service","Black",40.5,42.03,"universitaria","m"
"7408","CS7412",22,"Private",10,"S","Own-child","Service","White",30.5,45.6,"universitaria","m"
"7409","CS7413",55,"Self-Employed",14,"M","Own-child","Professional","White",55,51.18,"postuniversitaria","m"
"7410","CS7414",19,"Private",10,"S","Husband","Sales","White",40,40.08,"universitaria","f"
"7411","CS7415",23,"Private",10,"S","Not-in-family","Blue-Collar","White",25,50.37,"universitaria","m"
"7412","CS7416",46,"Private",9,"M","Not-in-family","Blue-Collar","White",44,56.2,"secundaria","m"
"7413","CS7417",23,"Private",13,"S","Husband","White-Collar","White",23.5,41.98,"universitaria","f"
"7414","CS7418",47,"Self-Employed",14,"M","Not-in-family","White-Collar","White",50,55.99,"postuniversitaria","m"
"7415","CS7419",23,"Private",10,"S","Husband","Sales","White",15,35.26,"universitaria","f"
"7416","CS7420",42,"Private",10,"M","Own-child","Service","White",40.5,53.75,"universitaria","m"
"7417","CS7421",22,"Government",13,"S","Husband","White-Collar","White",10.5,45.16,"universitaria","f"
"7418","CS7422",18,"Private",9,"S","Own-child","White-Collar","White",20.5,51.29,"secundaria","m"
"7419","CS7423",37,"Private",13,"M","Own-child","White-Collar","White",50.5,57.78,"universitaria","m"
"7420","CS7424",34,"Private",5,"M","Husband","Blue-Collar","White",50.5,54.38,"primaria","m"
"7421","CS7425",30,"Private",12,"X","Husband","Service","White",40.5,38.01,"universitaria","f"
"7422","CS7426",62,"Self-Employed",10,"W","Unmarried","Blue-Collar","White",50,37.37,"universitaria","f"
"7423","CS7427",51,"Private",10,"M","Unmarried","Blue-Collar","White",40.5,56.39,"universitaria","m"
"7424","CS7428",34,"Private",9,"M","Husband","Service","Black",30.5,45.24,"secundaria","m"
"7425","CS7429",28,"Self-Employed",14,"S","Husband","Professional","White",40.5,50.72,"postuniversitaria","m"
"7426","CS7430",56,"Private",6,"S","Own-child","Blue-Collar","White",40,47.83,"primaria","m"
"7427","CS7431",46,"Private",9,"D","Not-in-family","Service","White",30,41.92,"secundaria","f"
"7428","CS7432",46,"Private",10,"M","Not-in-family","Service","White",45.5,50.78,"universitaria","m"
"7429","CS7433",23,"Government",10,"M","Husband","White-Collar","White",40.5,50.62,"universitaria","f"
"7430","CS7434",33,"Private",13,"M","Own-child","White-Collar","Black",30,45.5,"universitaria","f"
"7431","CS7435",27,"Private",9,"S","Wife","Service","Asian-Pac-Islander",40.5,41.36,"secundaria","m"
"7432","CS7436",21,"Private",10,"S","Own-child","White-Collar","Black",20.5,42.61,"universitaria","f"
"7433","CS7437",18,"Other/Unknown",9,"S","Own-child","Other/Unknown","White",60,45.04,"secundaria","m"
"7434","CS7438",36,"Private",3,"M","Own-child","Blue-Collar","White",40,54.08,"primaria","m"
"7435","CS7439",37,"Government",13,"D","Husband","Professional","White",36.5,50.93,"universitaria","f"
"7436","CS7440",39,"Government",7,"M","Not-in-family","Service","White",40,54.23,"secundaria","m"
"7437","CS7441",36,"Private",9,"M","Husband","Blue-Collar","White",60,56.57,"secundaria","m"
"7438","CS7442",24,"Private",12,"S","Husband","Blue-Collar","White",40,51.83,"universitaria","m"
"7439","CS7443",26,"Private",12,"S","Not-in-family","White-Collar","Black",40.5,44.04,"universitaria","f"
"7440","CS7444",37,"Private",9,"D","Own-child","Sales","White",60.5,41.93,"secundaria","f"
"7441","CS7445",34,"Private",9,"M","Not-in-family","Blue-Collar","White",50,55.72,"secundaria","m"
"7442","CS7446",33,"Private",9,"D","Husband","White-Collar","White",40.5,43.82,"secundaria","f"
"7443","CS7447",33,"Self-Employed",9,"M","Unmarried","Service","White",30.5,49.31,"secundaria","m"
"7444","CS7448",20,"Private",9,"S","Husband","Sales","White",8.5,35.2,"secundaria","f"
"7445","CS7449",26,"Private",10,"D","Own-child","White-Collar","White",38.5,47.77,"universitaria","f"
"7446","CS7450",47,"Private",9,"M","Unmarried","White-Collar","White",20.5,50.52,"secundaria","f"
"7447","CS7451",17,"Private",7,"S","Wife","Sales","White",20.5,34.69,"secundaria","f"
"7448","CS7453",53,"Private",11,"M","Own-child","White-Collar","White",40,54.42,"universitaria","m"
"7449","CS7455",23,"Private",3,"M","Husband","Service","White",40.5,47.01,"primaria","m"
"7450","CS7456",39,"Private",13,"M","Husband","Blue-Collar","White",45,54.93,"universitaria","m"
"7451","CS7457",22,"Other/Unknown",9,"S","Husband","Other/Unknown","White",40,32.59,"secundaria","f"
"7452","CS7458",21,"Private",10,"S","Own-child","White-Collar","White",20.5,42.59,"universitaria","f"
"7453","CS7459",40,"Private",9,"S","Own-child","White-Collar","Black",35,42.49,"secundaria","f"
"7454","CS7460",54,"Government",14,"M","Unmarried","White-Collar","White",40,65.91,"postuniversitaria","m"
"7455","CS7461",32,"Government",13,"M","Husband","Professional","Asian-Pac-Islander",40,52.41,"universitaria","m"
"7456","CS7462",29,"Government",9,"M","Husband","Service","White",40.5,47.68,"secundaria","f"
"7457","CS7463",37.3573817486861,"Other/Unknown",10,"S","Wife","Other/Unknown","Black",40,36.3,"universitaria","f"
"7458","CS7464",27,"Government",13,"M","Unmarried","Service","White",45.5,59.43,"universitaria","m"
"7459","CS7465",54,"Private",10,"S","Husband","White-Collar","White",40,52.42,"universitaria","m"
"7460","CS7466",23,"Private",9,"D","Not-in-family","Service","White",40,37.38,"secundaria","f"
"7461","CS7467",38,"Private",14,"M","Unmarried","White-Collar","White",48,58.97,"postuniversitaria","m"
"7462","CS7468",54,"Private",9,"M","Husband","Service","White",35,42.09,"secundaria","f"
"7463","CS7469",21,"Private",10,"S","Wife","Professional","Asian-Pac-Islander",40.5,37.88,"universitaria","m"
"7464","CS7470",40,"Private",11,"S","Own-child","Professional","White",42.5,50.61,"universitaria","m"
"7465","CS7471",19,"Private",6,"S","Not-in-family","Service","White",40,35.38,"primaria","f"
"7466","CS7472",21,"Other/Unknown",9,"S","Not-in-family","Other/Unknown","White",60,47.49,"secundaria","m"
"7467","CS7473",35,"Private",13,"M","Other-relative","White-Collar","Black",40,47.58,"universitaria","f"
"7468","CS7474",39,"Private",10,"S","Wife","White-Collar","White",45.5,42.9,"universitaria","f"
"7469","CS7475",38,"Private",9,"S","Own-child","Service","White",40,48,"secundaria","m"
"7470","CS7476",41,"Private",8,"M","Unmarried","Blue-Collar","White",40.5,57.63,"secundaria","m"
"7471","CS7477",26,"Private",10,"S","Husband","White-Collar","White",40,44.3,"universitaria","f"
"7472","CS7478",35,"Private",9,"D","Not-in-family","Service","White",45.5,39.92,"secundaria","f"
"7473","CS7479",37.3573817486861,"Self-Employed",10,"M","Not-in-family","Blue-Collar","White",25.5,55,"universitaria","m"
"7474","CS7480",45,"Private",6,"M","Husband","Sales","White",40.5,49.24,"primaria","m"
"7475","CS7481",37.3573817486861,"Private",9,"W","Husband","Service","White",55,52.72,"secundaria","m"
"7476","CS7482",59,"Private",9,"X","Not-in-family","Service","White",40,38.78,"secundaria","f"
"7477","CS7483",18,"Private",5,"S","Not-in-family","Service","Black",15.5,34.65,"primaria","m"
"7478","CS7484",31,"Private",9,"M","Own-child","White-Collar","White",40.5,55.74,"secundaria","m"
"7479","CS7485",43,"Private",14,"M","Husband","Professional","White",45.5,44.25,"postuniversitaria","f"
"7480","CS7486",24,"Government",13,"S","Wife","Professional","White",40,46.99,"universitaria","f"
"7481","CS7487",33,"Private",11,"M","Not-in-family","Blue-Collar","White",50,51.91,"universitaria","m"
"7482","CS7488",48,"Government",14,"S","Husband","Professional","White",52.5,44.65,"postuniversitaria","f"
"7483","CS7489",27,"Private",13,"M","Not-in-family","White-Collar","White",40,56.11,"universitaria","m"
"7484","CS7490",41,"Private",9,"M","Husband","Blue-Collar","White",40,55.76,"secundaria","m"
"7485","CS7491",25,"Private",9,"M","Husband","Service","White",25.5,41.33,"secundaria","f"
"7486","CS7492",53,"Private",9,"D","Wife","Blue-Collar","White",40,54.69,"secundaria","m"
"7487","CS7493",37.3573817486861,"Self-Employed",15,"M","Not-in-family","Professional","White",50.5,55.11,"postuniversitaria","m"
"7488","CS7494",31,"Private",10,"M","Husband","Blue-Collar","White",40,56.66,"universitaria","m"
"7489","CS7495",30,"Government",13,"M","Husband","White-Collar","White",40.5,65.72,"universitaria","m"
"7490","CS7496",22,"Private",9,"D","Not-in-family","Blue-Collar","White",40,49.49,"secundaria","m"
"7491","CS7497",47,"Self-Employed",13,"M","Not-in-family","Sales","White",60.5,50.25,"universitaria","m"
"7492","CS7498",37.3573817486861,"Private",9,"M","Husband","White-Collar","White",40,60.14,"secundaria","m"
"7493","CS7499",37,"Private",10,"M","Husband","White-Collar","Black",70,49.14,"universitaria","m"
"7494","CS7500",35,"Self-Employed",10,"X","Husband","Blue-Collar","White",60,46.45,"universitaria","m"
"7495","CS7501",51,"Self-Employed",13,"M","Not-in-family","White-Collar","White",70,57.36,"universitaria","m"
"7496","CS7502",40,"Private",10,"X","Husband","Service","White",40,40.13,"universitaria","f"
"7497","CS7503",51,"Government",16,"M","Not-in-family","Professional","White",40,58.66,"postuniversitaria","m"
"7498","CS7504",26,"Private",6,"M","Husband","Blue-Collar","White",40,38.46,"primaria","f"
"7499","CS7505",53,"Private",12,"S","Wife","White-Collar","Black",40,42.32,"universitaria","f"
"7500","CS7506",32,"Private",9,"M","Unmarried","Blue-Collar","White",40.5,52.44,"secundaria","m"
"7501","CS7507",29,"Self-Employed",10,"M","Husband","Blue-Collar","Asian-Pac-Islander",40.5,41.4,"universitaria","m"
"7502","CS7508",42,"Private",9,"X","Husband","White-Collar","White",40,52.47,"secundaria","m"
"7503","CS7509",22,"Private",10,"S","Not-in-family","Blue-Collar","White",32.5,52.71,"universitaria","m"
"7504","CS7510",62,"Other/Unknown",9,"M","Not-in-family","Other/Unknown","White",24,46.52,"secundaria","m"
"7505","CS7511",33,"Private",9,"D","Husband","White-Collar","White",40,42.76,"secundaria","f"
"7506","CS7512",21,"Private",9,"S","Not-in-family","Blue-Collar","Black",20.5,40.54,"secundaria","m"
"7507","CS7513",46,"Government",13,"M","Own-child","Professional","White",45,61.62,"universitaria","m"
"7508","CS7514",25,"Private",7,"S","Husband","Blue-Collar","White",40.5,47.14,"secundaria","m"
"7509","CS7515",29,"Private",3,"M","Not-in-family","Service","White",40,46.91,"primaria","m"
"7510","CS7516",29,"Government",13,"S","Husband","Professional","White",48,56.42,"universitaria","m"
"7511","CS7517",33,"Private",16,"D","Not-in-family","Sales","White",60,51.82,"postuniversitaria","m"
"7512","CS7518",50,"Private",12,"D","Not-in-family","Blue-Collar","White",40.5,52.26,"universitaria","m"
"7513","CS7519",22,"Private",9,"S","Not-in-family","White-Collar","Amer-Indian-Eskimo",40.5,39.21,"secundaria","f"
"7514","CS7520",40,"Private",9,"D","Not-in-family","Blue-Collar","White",40.5,47.02,"secundaria","m"
"7515","CS7521",28,"Private",9,"M","Not-in-family","Blue-Collar","Amer-Indian-Eskimo",45.5,45.52,"secundaria","m"
"7516","CS7522",54,"Private",9,"M","Husband","White-Collar","White",40.5,57.33,"secundaria","m"
"7517","CS7523",29,"Private",9,"M","Husband","Blue-Collar","White",40,57.07,"secundaria","m"
"7518","CS7524",49,"Private",9,"W","Husband","Blue-Collar","Black",40,41.01,"secundaria","f"
"7519","CS7525",46,"Private",7,"W","Unmarried","Service","White",27.5,39.88,"secundaria","f"
"7520","CS7526",37.3573817486861,"Self-Employed",6,"M","Not-in-family","Blue-Collar","White",8,51.73,"primaria","m"
"7521","CS7527",27,"Private",10,"M","Husband","Blue-Collar","White",80,57.79,"universitaria","m"
"7522","CS7528",56,"Private",9,"S","Husband","White-Collar","White",40,40.08,"secundaria","f"
"7523","CS7529",64,"Private",9,"M","Not-in-family","Service","Asian-Pac-Islander",60,45.99,"secundaria","m"
"7524","CS7530",23,"Private",10,"M","Husband","White-Collar","White",25.5,48.11,"universitaria","f"
"7525","CS7531",36,"Private",13,"M","Wife","Professional","White",40.5,56.94,"universitaria","m"
"7526","CS7532",39,"Government",14,"M","Husband","Professional","White",45.5,58.75,"postuniversitaria","m"
"7527","CS7533",26,"Private",9,"S","Husband","White-Collar","White",40,50.6,"secundaria","m"
"7528","CS7534",31,"Government",12,"M","Not-in-family","Service","White",40.5,56.57,"universitaria","m"
"7529","CS7535",36,"Private",13,"D","Husband","White-Collar","White",40.5,46.82,"universitaria","f"
"7530","CS7536",43,"Private",9,"M","Unmarried","Blue-Collar","White",40,57.04,"secundaria","m"
"7531","CS7537",25,"Private",10,"S","Husband","White-Collar","White",50.5,46.01,"universitaria","f"
"7532","CS7538",27,"Private",9,"M","Not-in-family","Blue-Collar","White",40.5,54.67,"secundaria","m"
"7533","CS7539",24,"Private",8,"S","Husband","Sales","White",40,50.56,"secundaria","m"
"7534","CS7540",50,"Self-Employed",12,"M","Not-in-family","Service","White",20.5,48.24,"universitaria","m"
"7535","CS7541",30,"Private",9,"M","Husband","Blue-Collar","White",40.5,49.53,"secundaria","m"
"7536","CS7542",24,"Private",7,"S","Husband","Blue-Collar","White",40.5,50.55,"secundaria","m"
"7537","CS7543",41,"Government",14,"D","Not-in-family","Professional","White",36.5,45.58,"postuniversitaria","f"
"7538","CS7544",29,"Private",10,"S","Unmarried","White-Collar","White",45,50.71,"universitaria","m"
"7539","CS7545",31,"Private",10,"M","Not-in-family","White-Collar","White",40.5,57.51,"universitaria","m"
"7540","CS7546",54,"Private",10,"D","Husband","White-Collar","White",40.5,42.45,"universitaria","f"
"7541","CS7547",20,"Private",7,"M","Not-in-family","Sales","White",50.5,39.6,"secundaria","f"
"7542","CS7548",37,"Private",9,"S","Other-relative","Service","White",40.5,50.9,"secundaria","m"
"7543","CS7549",28,"Government",9,"S","Own-child","Service","Black",30.5,37.41,"secundaria","m"
"7544","CS7550",39,"Private",9,"M","Own-child","White-Collar","White",40,47.8,"secundaria","f"
"7545","CS7551",46,"Government",10,"S","Wife","White-Collar","White",40,46.77,"universitaria","f"
"7546","CS7552",35,"Private",13,"X","Not-in-family","White-Collar","White",42.5,43.1,"universitaria","f"
"7547","CS7553",36,"Self-Employed",10,"M","Unmarried","Sales","White",20,49.04,"universitaria","m"
"7548","CS7554",34,"Other/Unknown",9,"M","Husband","Other/Unknown","White",25.5,47.59,"secundaria","m"
"7549","CS7555",44,"Private",14,"M","Husband","White-Collar","White",40,57.79,"postuniversitaria","m"
"7550","CS7556",34,"Self-Employed",13,"D","Husband","White-Collar","White",50,49.78,"universitaria","m"
"7551","CS7557",28,"Self-Employed",9,"M","Not-in-family","Sales","White",50.5,52.33,"secundaria","m"
"7552","CS7558",38,"Self-Employed",15,"M","Husband","Professional","White",45.5,53.95,"postuniversitaria","m"
"7553","CS7559",64,"Other/Unknown",13,"M","Husband","Other/Unknown","White",50,48.91,"universitaria","m"
"7554","CS7560",19,"Other/Unknown",10,"S","Husband","Other/Unknown","White",40.5,34.24,"universitaria","f"
"7555","CS7561",35,"Private",13,"M","Own-child","Sales","White",52,54.96,"universitaria","m"
"7556","CS7562",61,"Private",9,"S","Husband","White-Collar","White",40,42.69,"secundaria","f"
"7557","CS7563",45,"Private",10,"D","Not-in-family","Sales","White",40.5,39.74,"universitaria","f"
"7558","CS7564",36,"Private",9,"M","Unmarried","Blue-Collar","White",40.5,55.3,"secundaria","m"
"7559","CS7565",34,"Private",9,"S","Husband","Blue-Collar","Black",30,45.97,"secundaria","m"
"7560","CS7566",27,"Private",11,"M","Unmarried","Sales","White",60.5,51.45,"universitaria","m"
"7561","CS7567",22,"Private",6,"S","Husband","Blue-Collar","White",40.5,51.25,"primaria","m"
"7562","CS7568",26,"Private",13,"S","Unmarried","Service","White",40,37.82,"universitaria","f"
"7563","CS7569",19,"Private",7,"S","Not-in-family","Service","White",15,35.64,"secundaria","f"
"7564","CS7570",36,"Private",9,"D","Other-relative","Blue-Collar","White",40,51.97,"secundaria","m"
"7565","CS7571",51,"Private",13,"D","Not-in-family","White-Collar","White",50.5,56.68,"universitaria","m"
"7566","CS7572",63,"Private",9,"M","Not-in-family","Blue-Collar","White",40,56.09,"secundaria","m"
"7567","CS7573",51,"Private",9,"M","Husband","White-Collar","White",40,56.56,"secundaria","m"
"7568","CS7574",20,"Government",10,"S","Husband","White-Collar","White",25.5,46.42,"universitaria","f"
"7569","CS7575",42,"Self-Employed",11,"M","Own-child","Professional","White",50.5,51.68,"universitaria","m"
"7570","CS7576",40,"Other/Unknown",13,"S","Husband","Other/Unknown","White",40,37.27,"universitaria","f"
"7571","CS7577",25,"Private",10,"M","Own-child","Blue-Collar","White",40,52.37,"universitaria","m"
"7572","CS7578",40,"Private",11,"D","Husband","White-Collar","White",50.5,44.67,"universitaria","f"
"7573","CS7579",41,"Other/Unknown",13,"M","Unmarried","Other/Unknown","White",30.5,43.76,"universitaria","f"
"7574","CS7580",49,"Private",9,"S","Wife","Blue-Collar","White",80,51.52,"secundaria","m"
"7575","CS7581",46,"Private",9,"X","Own-child","Blue-Collar","Black",40,41.47,"secundaria","f"
"7576","CS7582",32,"Self-Employed",9,"X","Own-child","Sales","White",50,47.24,"secundaria","m"
"7577","CS7583",28,"Private",10,"M","Not-in-family","Blue-Collar","Black",40.5,44.7,"universitaria","m"
"7578","CS7584",19,"Other/Unknown",9,"S","Husband","Other/Unknown","Black",20,33.32,"secundaria","m"
"7579","CS7585",19,"Private",9,"S","Other-relative","White-Collar","White",25,44.45,"secundaria","f"
"7580","CS7586",18,"Private",7,"S","Own-child","White-Collar","Black",20,44.57,"secundaria","m"
"7581","CS7587",39,"Private",9,"S","Own-child","Sales","White",55,46.4,"secundaria","m"
"7582","CS7588",60,"Self-Employed",13,"D","Not-in-family","Professional","White",30.5,41.69,"universitaria","f"
"7583","CS7589",46,"Government",13,"D","Not-in-family","Professional","White",40,47.63,"universitaria","f"
"7584","CS7590",38,"Private",4,"M","Not-in-family","Blue-Collar","White",50,47.38,"primaria","f"
"7585","CS7591",36,"Private",9,"M","Wife","Blue-Collar","White",44.5,52.77,"secundaria","m"
"7586","CS7592",45,"Private",10,"M","Husband","Sales","White",40,54.73,"universitaria","m"
"7587","CS7593",60,"Government",13,"D","Husband","Professional","White",40.5,46.23,"universitaria","f"
"7588","CS7594",30,"Private",7,"M","Not-in-family","Blue-Collar","White",40.5,50.44,"secundaria","m"
"7589","CS7595",22,"Private",10,"S","Husband","Service","White",43.5,36.36,"universitaria","f"
"7590","CS7596",23,"Private",10,"S","Not-in-family","White-Collar","White",45,54.62,"universitaria","m"
"7591","CS7597",48,"Government",10,"S","Not-in-family","Professional","Black",24.5,44.79,"universitaria","f"
"7592","CS7598",46,"Private",9,"M","Not-in-family","Service","White",15,38.67,"secundaria","f"
"7593","CS7599",43,"Private",14,"M","Own-child","White-Collar","White",45,59.01,"postuniversitaria","m"
"7594","CS7600",25,"Private",9,"M","Husband","Blue-Collar","Other",40,40.01,"secundaria","m"
"7595","CS7601",50,"Private",10,"S","Own-child","Professional","White",40.5,51.57,"universitaria","m"
"7596","CS7602",61,"Self-Employed",9,"D","Not-in-family","Sales","White",55,48.25,"secundaria","m"
"7597","CS7603",35,"Private",13,"S","Not-in-family","Sales","White",50.5,53.07,"universitaria","m"
"7598","CS7604",65,"Government",10,"D","Not-in-family","White-Collar","White",40,48.73,"universitaria","f"
"7599","CS7605",56,"Private",9,"M","Not-in-family","Blue-Collar","Asian-Pac-Islander",45.5,47.32,"secundaria","m"
"7600","CS7606",43,"Self-Employed",13,"M","Husband","Blue-Collar","Asian-Pac-Islander",80,41.84,"universitaria","f"
"7601","CS7607",55,"Private",9,"M","Wife","Blue-Collar","White",50,53.97,"secundaria","m"
"7602","CS7608",22,"Private",10,"S","Husband","White-Collar","White",40.5,44.92,"universitaria","f"
"7603","CS7609",40,"Private",10,"D","Own-child","Blue-Collar","White",32.5,54.11,"universitaria","m"
"7604","CS7610",35,"Private",9,"M","Own-child","Blue-Collar","White",50,56,"secundaria","m"
"7605","CS7611",22,"Other/Unknown",10,"S","Husband","Other/Unknown","White",50.5,46.17,"universitaria","m"
"7606","CS7612",20,"Private",5,"M","Own-child","Blue-Collar","White",40,53.98,"primaria","m"
"7607","CS7613",46,"Government",8,"M","Husband","Service","White",35.5,56.73,"secundaria","m"
"7608","CS7614",43,"Private",9,"X","Husband","Blue-Collar","White",40.5,51.66,"secundaria","m"
"7609","CS7615",46,"Government",9,"D","Unmarried","White-Collar","Black",40,45.73,"secundaria","f"
"7610","CS7616",39,"Private",7,"M","Unmarried","Service","Black",37,39.45,"secundaria","m"
"7611","CS7617",34,"Private",9,"S","Husband","White-Collar","White",20.5,39.77,"secundaria","f"
"7612","CS7618",35,"Private",9,"D","Unmarried","Service","White",35,41.38,"secundaria","f"
"7613","CS7619",30,"Private",9,"S","Not-in-family","White-Collar","White",41,50.68,"secundaria","m"
"7614","CS7620",25,"Private",9,"S","Unmarried","Blue-Collar","Black",28.5,43.58,"secundaria","m"
"7615","CS7621",44,"Private",14,"M","Not-in-family","White-Collar","White",35,60.31,"postuniversitaria","m"
"7616","CS7622",35,"Private",9,"D","Husband","White-Collar","White",40,44.41,"secundaria","f"
"7617","CS7623",41,"Private",9,"M","Unmarried","Blue-Collar","White",40.5,55.87,"secundaria","m"
"7618","CS7624",43,"Government",13,"M","Husband","White-Collar","White",40.5,63.82,"universitaria","m"
"7619","CS7625",32,"Private",10,"S","Husband","White-Collar","White",40.5,46.43,"universitaria","f"
"7620","CS7626",50,"Private",4,"M","Not-in-family","Blue-Collar","White",40,53.94,"primaria","m"
"7621","CS7627",20,"Private",10,"S","Husband","White-Collar","White",15,41.53,"universitaria","f"
"7622","CS7628",29,"Private",9,"M","Own-child","White-Collar","White",20,45.01,"secundaria","f"
"7623","CS7629",38,"Private",15,"M","Wife","Professional","White",70,57.77,"postuniversitaria","m"
"7624","CS7630",20,"Private",6,"S","Husband","Blue-Collar","White",50,50.17,"primaria","m"
"7625","CS7631",41,"Private",9,"S","Unmarried","Sales","Black",40.5,40.4,"secundaria","f"
"7626","CS7632",27,"Private",10,"S","Unmarried","White-Collar","White",65.5,41.16,"universitaria","f"
"7627","CS7633",37,"Private",5,"M","Not-in-family","Blue-Collar","White",40.5,52.95,"primaria","m"
"7628","CS7634",62,"Government",14,"X","Husband","Professional","White",24.5,44.42,"postuniversitaria","f"
"7629","CS7635",31,"Private",6,"D","Unmarried","Service","White",40.5,49,"primaria","m"
"7630","CS7636",49,"Private",10,"D","Not-in-family","White-Collar","Asian-Pac-Islander",40,44.58,"universitaria","f"
"7631","CS7637",33,"Government",13,"S","Not-in-family","Professional","Black",50,44.09,"universitaria","f"
"7632","CS7638",31,"Private",9,"M","Not-in-family","Blue-Collar","White",40,55.37,"secundaria","m"
"7633","CS7639",19,"Private",10,"S","Husband","Service","White",35,35.41,"universitaria","f"
"7634","CS7640",44,"Private",4,"M","Other-relative","Blue-Collar","White",40.5,57.83,"primaria","m"
"7635","CS7641",31,"Self-Employed",10,"S","Husband","White-Collar","White",65,50.46,"universitaria","m"
"7636","CS7642",62,"Private",9,"W","Not-in-family","Blue-Collar","White",40.5,42.15,"secundaria","f"
"7637","CS7643",65,"Self-Employed",10,"M","Unmarried","White-Collar","White",10.5,53.64,"universitaria","m"
"7638","CS7644",17,"Private",5,"M","Husband","Service","White",40.5,48.27,"primaria","m"
"7639","CS7645",60,"Private",9,"M","Husband","Blue-Collar","White",44.5,57.65,"secundaria","m"
