"CS_ID";"age";"workclass";"fnlwgt";"education_num";"marital_status";"relationship";"occupation";"race";"sex";"capital_gain";"capital_loss";"hours_per_week";"income"
"CS3334";26;" Private";231689;9;" Single";"Husband";" Blue-Collar";" Black";" Male";0;0;"40,5 h";"45,38 Milers d'euros"
"CS3335";53;" Private";209942;9;" Divorced";"Own-child";" Blue-Collar";" White";" female";0;0;"40,5 h";"46,17 Milers d'euros"
"CS3336";33;" Private";197492;9;" Married";"Not-in-family";" White-Collar";" White";" female";0;0;"35 h";"44,46 Milers d'euros"
"CS3337";46;" Private";262439;13;" Married";"Wife";" White-Collar";" White";" Male";0;0;"50 h";"59,98 Milers d'euros"
"CS3338";79;" Other/Unknown";283037;9;" Widowed";"Husband";" Other/Unknown";" Black";" female";0;0;"30,5 h";"35,54 Milers d'euros"
"CS3339";31;" Private";144533;9;" Widowed";"Not-in-family";" Blue-Collar";" White";" female";0;0;"40 h";"42,47 Milers d'euros"
"CS3340";24;" Private";83446;9;" Separated";"Unmarried";" Service";" White";" Male";0;0;"40,5 h";"47,35 Milers d'euros"
"CS3341";57;" Government";215443;9;" Divorced";"Not-in-family";" White-Collar";" White";" female";0;0;"62 h";"48,86 Milers d'euros"
"CS3342";40;" Private";268252;9;" Separated";"Unmarried";" Service";" White";" female";0;0;"47,5 h";"39,76 Milers d'euros"
"CS3343";41;" Self-Employed";181015;11;" Married";"Unmarried";" Sales";" Other";" Male";0;0;"84 h";"41,65 Milers d'euros"
"CS3344";20;" Private";139916;10;" Single";"Husband";" White-Collar";" White";" Male";0;2179;"26,5 h";"53,04 Milers d'euros"
"CS3345";45;" Private";195770;7;" Single";"Own-child";" Blue-Collar";" Black";" female";0;0;"40,5 h";"41,65 Milers d'euros"
"CS3346";27;" Private";125194;11;" Separated";"Not-in-family";" White-Collar";" White";" female";0;0;"40,5 h";"44,18 Milers d'euros"
"CS3347";36;" Private";58654;3;" Married";"Unmarried";" Blue-Collar";" White";" Male";0;0;"40,5 h";"53,77 Milers d'euros"
"CS3348";30;" Private";252327;9;" Married";"Other-relative";" Blue-Collar";" White";" Male";0;0;"40,5 h";"55,07 Milers d'euros"
"CS3349";36;" Private";116508;13;" Married";"Husband";" Professional";" White";" female";0;0;"40 h";"46140 euros"
"CS3350";25;" Private";166988;9;" Married";"Wife";" Blue-Collar";" Other";" Male";0;0;"40 h";"45,16 Milers d'euros"
"CS3351";30;" Other/Unknown";374163;10;" Single";"Not-in-family";" Other/Unknown";" White";" female";0;0;"25,5 h";"36,34 Milers d'euros"
"CS3352";31;" Private";96851;9;" Married";"Not-in-family";" White-Collar";" White";" female";0;1719;"40,5 h";"49,13 Milers d'euros"
"CS3353";49;" Private";196788;9;" Married";"Wife";" Blue-Collar";" White";" Male";0;0;"45,5 h";"56,71 Milers d'euros"
"CS3354";26;" Private";186172;7;" Single";"Husband";" Blue-Collar";" White";" Male";7688;0;"20 h";"49,24 Milers d'euros"
"CS3355";25;" Private";245628;13;" Single";"Unmarried";" Professional";" White";" Male";0;0;"40 h";"47,8 Milers d'euros"
"CS3356";29;" Private";159732;11;" Single";"Not-in-family";" White-Collar";" White";" female";0;0;"40 h";"42,5 Milers d'euros"
"CS3357";24;" Private";129856;10;" Single";"Own-child";" White-Collar";" White";" female";0;0;"52 h";"41,64 Milers d'euros"
"CS3358";41;" Private";182812;9;" Married";"Own-child";" White-Collar";" White";" Male";3325;0;"40,5 h";"56,62 Milers d'euros"
"CS3359";35;" Private";314322;14;" Single";"Husband";" White-Collar";" White";" Male";0;0;"40,5 h";"53,54 Milers d'euros"
"CS3360";57;" Self-Employed";102976;13;" Married";"Not-in-family";" Sales";" White";" female";0;0;"40,5 h";"40,55 Milers d'euros"
"CS3361";21;" Private";42959;7;" Single";"Wife";" Service";" White";" female";0;0;"40,5 h";"34,95 Milers d'euros"
"CS3362";29;" Private";256356;6;" Single";"Other-relative";" Service";" Black";" female";0;0;"32,5 h";"35,45 Milers d'euros"
"CS3363";36;" Private";136277;10;" Married";"Own-child";" White-Collar";" White";" Male";0;0;"40,5 h";"58,09 Milers d'euros"
"CS3364";20;" Private";284616;10;" Single";"Husband";" White-Collar";" White";" female";0;0;"25 h";"42,88 Milers d'euros"
"CS3365";51;" Private";185554;13;" Married";"Own-child";" White-Collar";" White";" Male";0;0;"40,5 h";"57,95 Milers d'euros"
"CS3366";39;" Private";138847;7;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40,5 h";"56,57 Milers d'euros"
"CS3367";36;" Private";33487;13;" Married";"Husband";" White-Collar";" White";" Male";0;0;"50 h";"55,33 Milers d'euros"
"CS3368";40;" Self-Employed";84306;15;" Married";"Husband";" Professional";" White";" Male";5013;0;"70 h";"53,92 Milers d'euros"
"CS3369";61;" Private";223881;9;" Married";"Husband";" White-Collar";" White";" Male";99999;0;"50 h";"61,26 Milers d'euros"
"CS3370";38;" Private";149653;15;" Married";"Husband";" Professional";" White";" Male";0;0;"60 h";"54,77 Milers d'euros"
"CS3371";20;" Other/Unknown";348739;10;" Single";"Husband";" Other/Unknown";" White";" Male";0;0;"35,5 h";"45,53 Milers d'euros"
"CS3372";21;" Private";235442;9;" Separated";"Own-child";" Service";" White";" female";0;0;"35 h";"36,35 Milers d'euros"
"CS3373";40;" Private";34506;9;" Divorced";"Own-child";" Service";" White";" female";0;0;"40 h";"39,15 Milers d'euros"
"CS3374";46;" Private";346964;6;" Married";"Unmarried";" Blue-Collar";" White";" Male";0;0;"45 h";"56,22 Milers d'euros"
"CS3375";21;" Private";192208;10;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"54,5 h";"53,52 Milers d'euros"
"CS3376";35;" Self-Employed";305874;6;" Married";"Husband";" Blue-Collar";" Black";" Male";0;0;"50,5 h";"42,3 Milers d'euros"
"CS3377";39;" Private";462890;13;" Married";"Husband";" Sales";" White";" Male";0;0;"40,5 h";"54,46 Milers d'euros"
"CS3378";38;" Self-Employed";89508;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"60,5 h";"53,56 Milers d'euros"
"CS3379";30;" Private";200153;9;" Separated";"Husband";" White-Collar";" White";" female";0;0;"40 h";"44500 euros"
"CS3380";28;" Private";179446;5;" Single";"Unmarried";" Blue-Collar";" Other";" Male";0;0;"40 h";"41,1 Milers d'euros"
"CS3381";32;" Private";208965;13;" Married";"Unmarried";" White-Collar";" White";" Male";0;0;"40 h";"59,73 Milers d'euros"
"CS3382";46;" Self-Employed";40142;11;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40,5 h";"50,83 Milers d'euros"
"CS3383";40;" Private";57452;11;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40 h";"56,12 Milers d'euros"
"CS3384";47;" Private";327573;9;" Married";"Husband";" Blue-Collar";" Black";" female";0;0;"40,5 h";"44,6 Milers d'euros"
"CS3385";44;" Private";151267;6;" Married";"Wife";" Blue-Collar";" White";" Male";15024;0;"40 h";"54370 euros"
"CS3386";38;" Private";265266;9;" Married";"Husband";" Sales";" White";" Male";0;0;"40 h";"53,96 Milers d'euros"
"CS3387";51;" Other/Unknown";203836;9;" Married";"Husband";" Other/Unknown";" White";" Male";3464;0;"20,5 h";"49,47 Milers d'euros"
"CS3388";46;" Self-Employed";163998;13;" Married";"Not-in-family";" Blue-Collar";" White";" Male";0;0;"40,5 h";"53,92 Milers d'euros"
"CS3389";51;" Private";28281;16;" Married";"Husband";" Professional";" White";" Male";0;0;"60 h";"56,05 Milers d'euros"
"CS3390";45;" Private";293196;16;" Widowed";"Husband";" Professional";" White";" Male";15024;0;"40,5 h";"52,8 Milers d'euros"
"CS3391";20;" Private";214627;10;" Single";"Unmarried";" Service";" White";" female";15020;0;"20,5 h";"34,94 Milers d'euros"
"CS3392";44;" Private";368852;13;" Married";"Own-child";" Professional";" White";" Male";0;0;"45 h";"53,86 Milers d'euros"
"CS3393";33;" Private";353396;11;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"45 h";"58,98 Milers d'euros"
"CS3394";18;" Private";161745;9;" Single";"Husband";" Service";" White";" female";0;0;"30,5 h";"38,46 Milers d'euros"
"CS3395";61;" Self-Employed";97963;15;" Separated";"Own-child";" Professional";" White";" Male";0;0;"40 h";"46,76 Milers d'euros"
"CS3396";50;" Government";156542;13;" Single";"Not-in-family";" White-Collar";" White";" female";0;0;"40 h";"46,27 Milers d'euros"
"CS3397";47;" Government";198103;9;" Single";"Not-in-family";" Blue-Collar";" Black";" Male";0;0;"40,5 h";"45,48 Milers d'euros"
"CS3398";34;" Private";55377;13;" Married";"Own-child";" White-Collar";" White";" Male";0;0;"50,5 h";"59,71 Milers d'euros"
"CS3399";53;" Private";173730;9;" Married";"Husband";" Blue-Collar";" Black";" Male";0;0;"60 h";"49,05 Milers d'euros"
"CS3400";39;" Self-Employed";374588;10;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40 h";"51,33 Milers d'euros"
"CS3401";58;" Private";174330;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40 h";"54,99 Milers d'euros"
"CS3402";66;" Other/Unknown";78141;9;" Married";"Husband";" Other/Unknown";" Black";" Male";0;0;"18,5 h";"43,27 Milers d'euros"
"CS3403";26;" Private";190324;7;" Single";"Husband";" Blue-Collar";" White";" Male";0;0;"50,5 h";"49,84 Milers d'euros"
"CS3404";41;" Private";31350;3;" Married";"Not-in-family";" White-Collar";" White";" Male";0;0;"40,5 h";"55,24 Milers d'euros"
"CS3405";47;" Government";243607;10;" Married";"Husband";" White-Collar";" White";" Male";0;0;"40,5 h";"62,42 Milers d'euros"
"CS3406";31;" Private";134671;11;" Married";"Husband";" Blue-Collar";" Amer-Indian-Eskimo";" Male";0;0;"40,5 h";"45,18 Milers d'euros"
"CS3407";52;" Private";197023;10;" Married";"Husband";" White-Collar";" White";" Male";0;0;"40,5 h";"56,39 Milers d'euros"
"CS3408";29;" Private";117674;12;" Married";"Husband";" Sales";" White";" Male";0;0;"50 h";"52,26 Milers d'euros"
"CS3409";43;" Private";169815;5;" Separated";"Husband";" Blue-Collar";" Black";" female";0;0;"50,5 h";"38,18 Milers d'euros"
"CS3410";42;" Government";598606;14;" Married";"Unmarried";" White-Collar";" White";" Male";0;0;"40 h";"63,74 Milers d'euros"
"CS3411";35;" Private";122861;10;" Single";"Husband";" Blue-Collar";" Black";" female";0;0;"30 h";"43,71 Milers d'euros"
"CS3412";41;" Private";166235;9;" Married";"Not-in-family";" Blue-Collar";" White";" Male";0;0;"40,5 h";"55,71 Milers d'euros"
"CS3413";34;" Private";187821;13;" Married";"Husband";" Sales";" White";" Male";2885;0;"60,5 h";"55,48 Milers d'euros"
"CS3414";52;" Self-Employed";340940;10;" Married";"Husband";" Blue-Collar";" White";" Male";7298;0;"40,5 h";"51,56 Milers d'euros"
"CS3415";61;" Private";194791;10;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40,5 h";"55,85 Milers d'euros"
"CS3416";39;" Government";231323;9;" Separated";"Husband";" White-Collar";" White";" Male";0;0;"40 h";"56,89 Milers d'euros"
"CS3417";19;" Private";305597;10;" Single";"Unmarried";" Sales";" White";" female";0;0;"25,5 h";"34,56 Milers d'euros"
"CS3418";46;" Government";25429;13;" Married";"Not-in-family";" White-Collar";" White";" Male";0;0;"40,5 h";"62,79 Milers d'euros"
"CS3419";39;" Private";192779;10;" Single";"Husband";" White-Collar";" White";" Male";7688;0;"45,5 h";"54,58 Milers d'euros"
"CS3420";22;" Private";346478;10;" Single";"Not-in-family";" Service";" White";" Male";0;0;"50 h";"49,63 Milers d'euros"
"CS3421";30;" Government";341368;9;" Separated";"Not-in-family";" White-Collar";" White";" female";0;0;"40 h";"49,52 Milers d'euros"
"CS3422";40;" Private";295612;11;" Divorced";"Not-in-family";" Service";" White";" female";0;0;"32,5 h";"36,62 Milers d'euros"
"CS3423";43;" Private";168936;13;" Married";"Not-in-family";" Professional";" White";" Male";0;0;"40,5 h";"55,76 Milers d'euros"
"CS3424";37;" Private";218558;3;" Married";"Not-in-family";" Blue-Collar";" White";" Male";3325;0;"36,5 h";"54,55 Milers d'euros"
"CS3425";23;" Private";336598;12;" Single";"Husband";" Service";" White";" Male";0;0;"20 h";"47,59 Milers d'euros"
"CS3426";39;" Government";308205;12;" Divorced";"Own-child";" Professional";" White";" Male";0;0;"59,5 h";"56,86 Milers d'euros"
"CS3427";54;" Private";357173;14;" Married";"Not-in-family";" Sales";" White";" Male";0;0;"40 h";"51,33 Milers d'euros"
"CS3428";46;" Self-Employed";457237;10;" Married";"Husband";" Sales";" White";" Male";0;0;"60,5 h";"50,71 Milers d'euros"
"CS3429";20;" Private";284799;10;" Single";"Husband";" Blue-Collar";" White";" female";0;0;"40,5 h";"34,64 Milers d'euros"
"CS3430";50;" Self-Employed";179423;13;" Married";"Own-child";" Service";" White";" female";0;0;"50 h";"41,65 Milers d'euros"
"CS3431";17;" Private";363405;6;" Single";"Wife";" Sales";" White";" female";0;0;"15,5 h";"39,02 Milers d'euros"
"CS3432";36;" Private";139183;9;" Married";"Own-child";" Blue-Collar";" White";" Male";0;0;"40,5 h";"58,15 Milers d'euros"
"CS3433";37;" Private";203482;9;" Married";"Husband";" Sales";" White";" Male";0;0;"45 h";"46,93 Milers d'euros"
"CS3434";53;" Private";112554;9;" Divorced";"Husband";" Service";" White";" female";0;0;"38 h";"40,59 Milers d'euros"
"CS3435";50;" Private";99476;9;" Married";"Not-in-family";" Blue-Collar";" White";" Male";0;0;"40,5 h";"54,79 Milers d'euros"
"CS3436";38;" Private";93690;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40 h";"55,08 Milers d'euros"
"CS3437";63;" Self-Employed";220585;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"32,5 h";"48,21 Milers d'euros"
"CS3438";53;" Private";194638;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"50 h";"56,65 Milers d'euros"
"CS3439";40;" Other/Unknown";154785;13;" Divorced";"Husband";" Other/Unknown";" White";" female";0;0;"50,5 h";"36,68 Milers d'euros"
"CS3440";23;" Self-Employed";162108;10;" Single";"Not-in-family";" Professional";" White";" Male";0;0;"50,5 h";"47,04 Milers d'euros"
"CS3441";20;" Private";214542;9;" Single";"Not-in-family";" Blue-Collar";" White";" Male";0;0;"43,5 h";"50,3 Milers d'euros"
"CS3442";46;" Private";161922;10;" Married";"Not-in-family";" Blue-Collar";" Black";" Male";0;0;"40,5 h";"45,63 Milers d'euros"
"CS3443";28;" Private";207940;6;" Single";"Husband";" Service";" Amer-Indian-Eskimo";" Male";0;0;"40,5 h";"37,57 Milers d'euros"
"CS3444";59;" Private";259351;14;" Divorced";"Other-relative";" Professional";" White";" Male";0;0;"50,5 h";"53,8 Milers d'euros"
"CS3445";41;" Private";208395;13;" Married";"Not-in-family";" White-Collar";" White";" Male";0;0;"40,5 h";"58,57 Milers d'euros"
"CS3446";33;" Private";116391;1;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40 h";"53,63 Milers d'euros"
"CS3447";56;" Private";239781;8;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40 h";"54,43 Milers d'euros"
"CS3448";50;" Self-Employed";174351;9;" Married";"Husband";" Sales";" White";" Male";0;0;"55,5 h";"52,51 Milers d'euros"
"CS3449";31;" Government";44368;13;" Single";"Husband";" White-Collar";" White";" female";15024;0;"50,5 h";"47740 euros"
"CS3450";41;" Private";188798;11;" Divorced";"Not-in-family";" Sales";" White";" Male";0;0;"50 h";"48,98 Milers d'euros"
"CS3451";38;" Private";50122;13;" Married";"Own-child";" Professional";" White";" female";0;0;"40,5 h";"46,45 Milers d'euros"
"CS3452";25;" Government";111398;12;" Single";"Wife";" White-Collar";" White";" female";7688;0;"40,5 h";"49,9 Milers d'euros"
"CS3453";18;" Other/Unknown";152035;9;" Single";"Own-child";" Other/Unknown";" Other";" female";0;0;"12 h";"27,05 Milers d'euros"
"CS3454";49;" Government";139003;13;" Divorced";"Other-relative";" Professional";" Black";" female";0;0;"40,5 h";"46,14 Milers d'euros"
"CS3455";39;" Private";249289;10;" Single";"Unmarried";" Blue-Collar";" White";" Male";0;0;"40,5 h";"54,66 Milers d'euros"
"CS3456";22;" Other/Unknown";257726;10;" Single";"Own-child";" Other/Unknown";" White";" female";0;0;"20 h";"32,34 Milers d'euros"
"CS3457";21;" Private";113175;10;" Single";"Own-child";" Professional";" White";" female";0;0;"25 h";"40,76 Milers d'euros"
"CS3458";35;" Private";151158;13;" Married";"Own-child";" Sales";" White";" Male";0;0;"40 h";"56,71 Milers d'euros"
"CS3459";21;" Other/Unknown";465326;9;" Single";"Husband";" Other/Unknown";" White";" female";0;0;"40 h";"34,73 Milers d'euros"
"CS3460";38;" Private";356772;9;" Married";"Unmarried";" Blue-Collar";" White";" Male";0;0;"40,5 h";"56,3 Milers d'euros"
"CS3461";55;" Private";364782;4;" Widowed";"Husband";" Service";" White";" female";0;0;"20 h";"38,21 Milers d'euros"
"CS3462";31;" Private";198385;9;" Divorced";"Unmarried";" Blue-Collar";" White";" Male";0;0;"55,5 h";"54,76 Milers d'euros"
"CS3463";17;" Self-Employed";329301;7;" Single";"Not-in-family";" Professional";" White";" Male";0;0;"20 h";"42,56 Milers d'euros"
"CS3464";31;" Private";254859;13;" Married";"Own-child";" White-Collar";" White";" Male";0;0;"50 h";"60,25 Milers d'euros"
"CS3465";25;" Government";203488;13;" Single";"Husband";" Professional";" White";" Male";7298;0;"40 h";"50,56 Milers d'euros"
"CS3466";39;" Private";222800;14;" Married";"Not-in-family";" White-Collar";" White";" Male";0;0;"55 h";"63,31 Milers d'euros"
"CS3467";50;" Private";96452;4;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40,5 h";"52,8 Milers d'euros"
"CS3468";38;" Government";170050;13;" Married";"Husband";" Professional";" White";" female";0;0;"20,5 h";"47,14 Milers d'euros"
"CS3469";50;" Private";116580;10;" Married";"Wife";" Sales";" White";" Male";0;0;"60,5 h";"53,92 Milers d'euros"
"CS3470";63;" Private";400004;6;" Married";"Husband";" White-Collar";" White";" Male";0;0;"40 h";"54,45 Milers d'euros"
"CS3471";31;" Private";183608;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"50 h";"54,69 Milers d'euros"
"CS3472";23;" Private";194055;13;" Single";"Husband";" Professional";" White";" female";0;0;"40 h";"40,04 Milers d'euros"
"CS3473";18;" Private";210443;10;" Single";"Own-child";" Service";" White";" Male";0;0;"20,5 h";"46,56 Milers d'euros"
"CS3474";43;" Government";43272;13;" Divorced";"Own-child";" Professional";" White";" female";0;0;"48 h";"49,81 Milers d'euros"
"CS3475";34;" Private";108945;10;" Married";"Unmarried";" White-Collar";" White";" Male";0;0;"50,5 h";"54,05 Milers d'euros"
"CS3476";18;" Private";114691;7;" Single";"Husband";" Sales";" White";" Male";0;0;"35 h";"46,55 Milers d'euros"
"CS3477";46;" Private";304169;9;" Married";"Own-child";" Blue-Collar";" Black";" Male";0;0;"40,5 h";"49,73 Milers d'euros"
"CS3478";35;" Private";503923;13;" Single";"Husband";" Sales";" White";" female";4386;0;"40,5 h";"37,61 Milers d'euros"
"CS3479";46;" Government";340428;14;" Single";"Unmarried";" White-Collar";" White";" female";0;0;"38 h";"48,58 Milers d'euros"
"CS3480";59;" Private";106705;11;" Married";"Not-in-family";" Service";" White";" Male";0;0;"40 h";"57,27 Milers d'euros"
"CS3481";31;" Private";146391;4;" Single";"Husband";" Blue-Collar";" White";" female";7298;0;"30 h";"35,34 Milers d'euros"
"CS3482";27;" Private";235389;9;" Divorced";"Not-in-family";" Sales";" White";" female";0;0;"37 h";"37,1 Milers d'euros"
"CS3483";41;" Private";39665;14;" Married";"Unmarried";" Professional";" White";" Male";0;0;"40 h";"52,37 Milers d'euros"
"CS3484";42;" Private";113823;9;" Single";"Husband";" Blue-Collar";" Black";" Male";0;0;"40,5 h";"44,51 Milers d'euros"
"CS3485";55;" Private";217826;13;" Married";"Own-child";" White-Collar";" White";" Male";0;0;"40,5 h";"57,15 Milers d'euros"
"CS3486";34;" Other/Unknown";349304;9;" Single";"Husband";" Other/Unknown";" Black";" female";0;0;"40 h";"35,95 Milers d'euros"
"CS3487";44;" Private";197688;9;" Single";"Not-in-family";" Blue-Collar";" White";" female";0;0;"40,5 h";"40,02 Milers d'euros"
"CS3488";26;" Private";54507;13;" Single";"Not-in-family";" White-Collar";" White";" female";0;0;"50 h";"44 Milers d'euros"
"CS3489";36;" Private";117833;11;" Married";"Not-in-family";" Professional";" White";" female";0;1669;"40 h";"45,4 Milers d'euros"
"CS3490";69;" Private";163396;5;" Married";"Wife";" Service";" White";" Male";0;0;"35,5 h";"51,94 Milers d'euros"
"CS3491";33;" Private";88566;10;" Single";"Husband";" White-Collar";" White";" female";1424;0;"40,5 h";"39,41 Milers d'euros"
"CS3492";30;" Private";323619;11;" Married";"Unmarried";" Professional";" White";" Male";0;0;"40,5 h";"52,44 Milers d'euros"
"CS3493";35;" Private";75755;9;" Married";"Husband";" Service";" White";" female";0;0;"16,5 h";"42,75 Milers d'euros"
"CS3494";25;" Private";148903;13;" Single";"Wife";" White-Collar";" White";" female";0;0;"40,5 h";"47,7 Milers d'euros"
"CS3495";21;" Private";40915;10;" Single";"Not-in-family";" Service";" Black";" Male";0;0;"40 h";"37,7 Milers d'euros"
"CS3496";18;" Private";182606;7;" Single";"Own-child";" Service";" Black";" Male";0;0;"15,5 h";"37700 euros"
"CS3497";35;" Self-Employed";131033;10;" Married";"Other-relative";" Blue-Collar";" White";" Male";0;0;"60 h";"52,79 Milers d'euros"
"CS3498";20;" Private";168475;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"50,5 h";"53,42 Milers d'euros"
"CS3499";26;" Private";121568;14;" Married";"Husband";" Professional";" White";" Male";0;0;"40,5 h";"51,55 Milers d'euros"
"CS3500";46;" Private";139098;13;" Married";"Husband";" Service";" White";" Male";5013;0;"40,5 h";"57,29 Milers d'euros"
"CS3501";31;" Private";357338;13;" Single";"Husband";" Professional";" White";" female";0;0;"36 h";"43 Milers d'euros"
"CS3502";40;" Private";283268;15;" Married";"Unmarried";" Blue-Collar";" White";" Male";0;0;"40 h";"54,24 Milers d'euros"
"CS3503";40;" Private";572751;9;" Divorced";"Husband";" White-Collar";" White";" female";5178;0;"52 h";"40,78 Milers d'euros"
"CS3504";31;" Private";315321;13;" Single";"Unmarried";" White-Collar";" White";" female";0;625;"40,5 h";"43,61 Milers d'euros"
"CS3505";32;" Self-Employed";120461;16;" Married";"Not-in-family";" White-Collar";" White";" Male";0;0;"40 h";"56,98 Milers d'euros"
"CS3506";23;" Self-Employed";65278;10;" Divorced";"Husband";" White-Collar";" White";" Male";0;0;"40,5 h";"50,73 Milers d'euros"
"CS3507";25;" Government";208503;14;" Single";"Own-child";" Service";" White";" Male";0;0;"40 h";"55,55 Milers d'euros"
"CS3508";37;" Private";112835;10;" Married";"Not-in-family";" Blue-Collar";" White";" Male";0;0;"50,5 h";"55,22 Milers d'euros"
"CS3509";18;" Private";265038;10;" Single";"Husband";" Sales";" White";" female";0;0;"20,5 h";"34,91 Milers d'euros"
"CS3510";55;" Private";89478;9;" Widowed";"Own-child";" Sales";" White";" female";0;0;"38 h";"42,12 Milers d'euros"
"CS3511";52;" Private";276229;5;" Divorced";"Not-in-family";" Blue-Collar";" White";" female";0;0;"40 h";"40,84 Milers d'euros"
"CS3512";26;" Private";366232;9;" Single";"Unmarried";" White-Collar";" White";" female";0;0;"40,5 h";"42,2 Milers d'euros"
"CS3513";37;" Private";152035;10;" Single";"Own-child";" Service";" White";" Male";0;0;"40,5 h";"47,88 Milers d'euros"
"CS3514";39;" Private";205339;9;" Divorced";"Not-in-family";" White-Collar";" White";" female";0;0;"45,5 h";"44,42 Milers d'euros"
"CS3515";62;" Self-Employed";75995;13;" Divorced";"Unmarried";" Professional";" White";" female";0;0;"40,5 h";"34,45 Milers d'euros"
"CS3516";19;" Other/Unknown";192236;10;" Single";"Not-in-family";" Other/Unknown";" White";" female";0;0;"25 h";"35,79 Milers d'euros"
"CS3517";47;" Private";188618;9;" Married";"Own-child";" Blue-Collar";" White";" Male";0;0;"45 h";"56,99 Milers d'euros"
"CS3518";51;" Government";229737;13;" Married";"Husband";" Service";" White";" Male";0;0;"40,5 h";"59,02 Milers d'euros"
"CS3519";55;" Private";199688;9;" Divorced";"Husband";" Service";" White";" female";0;0;"40,5 h";"38,82 Milers d'euros"
"CS3520";30;" Private";52953;9;" Married";"Unmarried";" Blue-Collar";" White";" Male";0;0;"35 h";"54,94 Milers d'euros"
"CS3521";59;" Government";221043;10;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"36 h";"57,08 Milers d'euros"
"CS3522";45;" Self-Employed";115389;6;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"65 h";"52,88 Milers d'euros"
"CS3523";52;" Private";204205;10;" Married";"Husband";" White-Collar";" White";" Male";0;0;"45 h";"56,38 Milers d'euros"
"CS3524";21;" Private";338816;9;" Single";"Husband";" Blue-Collar";" White";" Male";15024;0;"20,5 h";"52,65 Milers d'euros"
"CS3525";31;" Private";197387;9;" Married";"Own-child";" Blue-Collar";" White";" Male";0;0;"55 h";"53,52 Milers d'euros"
"CS3526";29;" Private";42485;10;" Single";"Husband";" White-Collar";" Black";" Male";0;0;"40 h";"41,05 Milers d'euros"
"CS3527";24;" Private";367706;9;" Married";"Own-child";" Blue-Collar";" White";" Male";0;0;"40 h";"55,06 Milers d'euros"
"CS3528";17;" Private";102493;6;" Single";"Husband";" Service";" White";" Male";0;0;"24,5 h";"42,83 Milers d'euros"
"CS3529";47;" Private";263746;9;" Divorced";"Own-child";" Blue-Collar";" Black";" female";0;0;"40,5 h";"40,54 Milers d'euros"
"CS3530";46;" Private";115358;10;" Married";"Not-in-family";" Sales";" White";" Male";0;0;"50,5 h";"54,59 Milers d'euros"
"CS3531";32;" Other/Unknown";189680;9;" Divorced";"Husband";" Other/Unknown";" White";" female";0;0;"28 h";"39,33 Milers d'euros"
"CS3532";34;" Private";282622;6;" Single";"Unmarried";" Blue-Collar";" White";" Male";0;0;"44,5 h";"49,67 Milers d'euros"
"CS3533";63;" Private";127651;8;" Married";"Not-in-family";" Blue-Collar";" White";" Male";0;0;"40,5 h";"57,51 Milers d'euros"
"CS3534";21;" Private";230823;10;" Single";"Husband";" Service";" White";" Male";0;0;"25 h";"44,73 Milers d'euros"
"CS3535";18;" Private";300812;9;" Single";"Own-child";" Service";" Black";" Male";0;0;"36,5 h";"42,87 Milers d'euros"
"CS3536";49;" Government";174732;16;" Married";"Other-relative";" White-Collar";" White";" Male";0;0;"50,5 h";"63,92 Milers d'euros"
"CS3537";76;" Self-Employed";183710;9;" Widowed";"Husband";" White-Collar";" White";" female";0;0;"20,5 h";"39,76 Milers d'euros"
"CS3538";36;" Self-Employed";137018;12;" Married";"Not-in-family";" White-Collar";" White";" Male";0;0;"40,5 h";"55,8 Milers d'euros"
"CS3539";47;" Private";213008;9;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"40,5 h";"53,78 Milers d'euros"
"CS3540";36;" Private";357848;14;" Married";"Husband";" Sales";" White";" Male";0;0;"50 h";"54,02 Milers d'euros"
"CS3541";39;" Self-Employed";165799;11;" Married";"Husband";" Blue-Collar";" White";" Male";0;0;"60 h";"53580 euros"
"CS3542";46;" Private";188571;13;" Single";"Husband";" Sales";" White";" female";0;0;"35 h";"41,8 Milers d'euros"
"CS3543";43;" Government";97883;10;" Married";"Not-in-family";" White-Collar";" White";" female";0;0;"40,5 h";"50,46 Milers d'euros"
"CS3544";39;" Government";105862;13;" Divorced";"Wife";" White-Collar";" White";" female";0;1902;"35 h";"48,5 Milers d'euros"
