"CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","gender","hours_per_week","income","education_cat"
"CS2749",20,"Private",5,"S","Husband","Blue-Collar","White","f",11.5,41.72,"Primaria"
"CS2750",47,"Private",11,"D","Own-child","Sales","White","m",50.5,49.85,"Universitaria"
"CS2751",55,"Other/Unknown",9,"D","Not-in-family","Other/Unknown","White","m",20,43.81,"Secundaria"
"CS2752",53,"Self-Employed",4,"M","Not-in-family","White-Collar","White","m",50,51.55,"Primaria"
"CS2753",43,"Private",13,"M","Husband","Sales","White","m",65.5,56.01,"Universitaria"
"CS2754",39,"Self-Employed",4,"M","Husband","Blue-Collar","White","m",30.5,55.28,"Primaria"
"CS2755",24,"Private",10,"S","Husband","Service","White","f",40.5,37.77,"Universitaria"
"CS2756",43,"Government",14,"M","Own-child","White-Collar","White","m",60.5,63.64,"Postuniversitaria"
"CS2757",22,"Private",9,"S","Husband","Blue-Collar","White","m",40.5,48.75,"Secundaria"
"CS2758",40,"Private",10,"X","Own-child","White-Collar","Black","m",40.5,48.13,"Universitaria"
"CS2759",48,"Private",9,"M","Not-in-family","White-Collar","White","m",50.5,59.18,"Secundaria"
"CS2760",56,"Other/Unknown",9,"M","Husband","Other/Unknown","White","m",25.5,44.56,"Secundaria"
"CS2761",34,"Other/Unknown",7,"D","Husband","Other/Unknown","White","m",40.5,45.42,"Secundaria"
"CS2762",51,"Private",9,"M","Own-child","Blue-Collar","White","m",45,55.2,"Secundaria"
"CS2763",24,"Government",9,"S","Husband","White-Collar","White","f",40.5,44.49,"Secundaria"
"CS2764",19,"Private",9,"S","Not-in-family","Service","White","f",40.5,37.01,"Secundaria"
"CS2765",34,"Private",10,"D","Own-child","White-Collar","White","f",30.5,41.75,"Universitaria"
"CS2766",24,"Private",9,"S","Unmarried","Blue-Collar","White","m",40,51.43,"Secundaria"
"CS2767",41,"Private",13,"M","Own-child","Blue-Collar","White","m",48,57.37,"Universitaria"
"CS2768",24,"Private",9,"D","Husband","Sales","White","f",38,40.27,"Secundaria"
"CS2769",22,"Government",10,"S","Not-in-family","Service","White","m",40.5,52.79,"Universitaria"
"CS2770",32,"Government",10,"D","Own-child","White-Collar","White","f",40,51.45,"Universitaria"
"CS2771",41,"Private",13,"D","Unmarried","White-Collar","White","f",55,45.14,"Universitaria"
"CS2772",20,"Private",10,"S","Not-in-family","Service","White","m",35.5,43.44,"Universitaria"
"CS2773",31,"Private",9,"S","Own-child","Service","Black","m",40.5,39.97,"Secundaria"
"CS2774",55,"Private",13,"M","Not-in-family","Service","White","m",18,54.52,"Universitaria"
"CS2775",49,"Government",16,"M","Husband","Professional","Black","m",60,51.43,"Postuniversitaria"
"CS2776",26,"Private",13,"S","Husband","Sales","White","m",40,51.81,"Universitaria"
"CS2777",27,"Self-Employed",9,"D","Own-child","Blue-Collar","White","m",70.5,51.89,"Secundaria"
"CS2778",35,"Private",9,"X","Not-in-family","White-Collar","White","f",40,44.11,"Secundaria"
"CS2779",40,"Private",9,"D","Not-in-family","Service","White","m",60.5,49.93,"Secundaria"
"CS2780",59,"Private",10,"M","Not-in-family","Professional","White","m",34.5,52.79,"Universitaria"
"CS2781",61,"Private",10,"M","Husband","Sales","White","m",45.5,52.93,"Universitaria"
"CS2782",31,"Private",9,"S","Husband","Sales","Black","f",40.5,38.86,"Secundaria"
"CS2783",43,"Government",14,"D","Own-child","Service","White","m",60,57.37,"Postuniversitaria"
"CS2784",61,"Private",3,"S","Not-in-family","Blue-Collar","Black","m",40.5,41.37,"Primaria"
"CS2785",54,"Private",12,"W","Not-in-family","White-Collar","White","f",30,43.28,"Universitaria"
"CS2786",30,"Private",10,"M","Unmarried","Sales","White","m",50.5,57.45,"Universitaria"
"CS2787",20,"Private",10,"S","Husband","Sales","White","f",50.5,39.24,"Universitaria"
"CS2788",27,"Government",14,"S","Not-in-family","Professional","White","f",50,42.84,"Postuniversitaria"
"CS2789",44,"Self-Employed",10,"D","Not-in-family","Blue-Collar","White","m",60,52.08,"Universitaria"
"CS2790",64,"Private",10,"W","Not-in-family","White-Collar","White","f",40.5,44.84,"Universitaria"
"CS2791",55,"Private",9,"D","Not-in-family","White-Collar","White","f",40.5,46.29,"Secundaria"
"CS2792",34,"Private",9,"D","Not-in-family","Blue-Collar","White","m",55.5,52.56,"Secundaria"
"CS2793",61,"Private",9,"W","Not-in-family","Sales","White","f",35.5,39.05,"Secundaria"
"CS2794",28,"Private",13,"M","Not-in-family","Professional","White","m",40.5,54.25,"Universitaria"
"CS2795",34,"Private",9,"D","Husband","Blue-Collar","Black","f",40.5,42.84,"Secundaria"
"CS2796",47,"Self-Employed",15,"M","Unmarried","Professional","White","m",60,51.64,"Postuniversitaria"
"CS2797",26,"Private",13,"S","Husband","White-Collar","White","m",45,52.85,"Universitaria"
"CS2798",35,"Private",7,"S","Not-in-family","Service","Amer-Indian-Eskimo","m",40.5,37.05,"Secundaria"
"CS2799",36,"Private",13,"M","Unmarried","Professional","White","m",38,54.59,"Universitaria"
"CS2800",47,"Private",13,"M","Husband","Professional","White","m",40.5,54.01,"Universitaria"
"CS2801",17,"Private",7,"S","Husband","Service","Black","f",25,37.06,"Secundaria"
"CS2802",35,"Private",10,"M","Own-child","Professional","White","m",60.5,51.75,"Universitaria"
"CS2803",33,"Private",14,"S","Husband","Professional","White","m",20.5,47.07,"Postuniversitaria"
"CS2804",25,"Private",12,"M","Own-child","White-Collar","White","f",40.5,51.45,"Universitaria"
"CS2805",18,"Private",6,"S","Wife","Sales","White","m",10.5,46.5,"Primaria"
"CS2806",47,"Government",14,"X","Own-child","Professional","White","m",38,54.1,"Postuniversitaria"
"CS2807",44,"Private",9,"W","Not-in-family","Service","Black","f",30.5,37.95,"Secundaria"
"CS2808",41,"Private",9,"D","Unmarried","Service","White","f",30,40.49,"Secundaria"
"CS2809",30,"Private",13,"S","Unmarried","White-Collar","White","f",40.5,43.71,"Universitaria"
"CS2810",53,"Self-Employed",10,"M","Not-in-family","Blue-Collar","White","m",50.5,53.57,"Universitaria"
"CS2811",53,"Private",9,"W","Husband","Service","Black","f",20.5,37.95,"Secundaria"
"CS2812",40,"Private",9,"M","Unmarried","Sales","White","f",20,40.59,"Secundaria"
"CS2813",24,"Private",10,"S","Wife","White-Collar","White","m",24,53.74,"Universitaria"
"CS2814",27,"Private",13,"S","Not-in-family","Sales","White","m",40,49.32,"Universitaria"
"CS2815",50,"Private",3,"M","Own-child","Blue-Collar","White","m",37.5,56.14,"Primaria"
"CS2816",36,"Private",7,"M","Husband","Blue-Collar","White","m",50.5,52.5,"Secundaria"
"CS2817",41,"Private",2,"M","Husband","Blue-Collar","White","m",40.5,52.78,"Primaria"
"CS2818",41,"Private",14,"S","Husband","Professional","White","f",40,40.35,"Postuniversitaria"
"CS2819",31,"Private",9,"S","Not-in-family","Service","White","f",40,35.77,"Secundaria"
"CS2820",32,"Government",13,"M","Not-in-family","White-Collar","White","m",40.5,64.19,"Universitaria"
"CS2821",22,"Private",10,"S","Husband","Blue-Collar","White","m",48.5,50.99,"Universitaria"
"CS2822",22,"Private",6,"D","Own-child","Blue-Collar","White","m",40,47.95,"Primaria"
"CS2823",18,"Government",8,"S","Own-child","Professional","White","m",30.5,50.74,"Secundaria"
"CS2824",39,"Private",13,"M","Own-child","Professional","Black","m",30.5,43.89,"Universitaria"
"CS2825",38,"Private",9,"M","Husband","White-Collar","White","f",55.5,49.66,"Secundaria"
"CS2826",35,"Government",9,"M","Wife","Blue-Collar","White","m",40,64.13,"Secundaria"
"CS2827",23,"Private",10,"S","Husband","Blue-Collar","White","m",40,49.64,"Universitaria"
"CS2828",54,"Self-Employed",13,"M","Not-in-family","White-Collar","White","m",40,55.67,"Universitaria"
"CS2829",36,"Private",14,"M","Husband","Professional","White","m",60,55.78,"Postuniversitaria"
"CS2830",63,"Government",9,"M","Husband","White-Collar","White","m",55.5,67.75,"Secundaria"
"CS2831",39,"Private",10,"M","Husband","White-Collar","White","m",48.5,53.05,"Universitaria"
"CS2832",57,"Self-Employed",10,"M","Husband","Sales","White","m",60.5,49.58,"Universitaria"
"CS2833",58,"Self-Employed",15,"M","Husband","Professional","White","m",50,50.48,"Postuniversitaria"
"CS2834",29,"Private",13,"S","Husband","White-Collar","Asian-Pac-Islander","f",40,42.14,"Universitaria"
"CS2835",17,"Private",7,"S","Not-in-family","Sales","White","f",20.5,35.73,"Secundaria"
"CS2836",40,"Private",9,"D","Own-child","Blue-Collar","White","m",40,50.73,"Secundaria"
"CS2837",69,"Self-Employed",10,"M","Not-in-family","Service","White","f",15,43.29,"Universitaria"
"CS2838",28,"Private",6,"D","Wife","Sales","White","f",40,38.41,"Primaria"
"CS2839",38,"Private",5,"M","Not-in-family","Blue-Collar","White","m",40,58.68,"Primaria"
"CS2840",44,"Private",15,"S","Husband","Professional","White","m",40.5,52.82,"Postuniversitaria"
"CS2841",45,"Government",15,"D","Not-in-family","Professional","Black","f",40.5,43.67,"Postuniversitaria"
"CS2842",33,"Government",13,"M","Unmarried","White-Collar","Black","m",40,52.71,"Universitaria"
"CS2843",41,"Government",10,"M","Husband","Service","White","m",40,57.08,"Universitaria"
"CS2844",37,"Self-Employed",9,"M","Husband","Sales","White","m",60.5,48.54,"Secundaria"
"CS2845",50,"Private",10,"M","Husband","Sales","White","m",45.5,53.66,"Universitaria"
"CS2846",48,"Private",13,"M","Husband","Professional","White","m",50,56.44,"Universitaria"
"CS2847",26,"Other/Unknown",9,"S","Husband","Other/Unknown","Black","f",40.5,35.61,"Secundaria"
"CS2848",36,"Private",10,"M","Unmarried","White-Collar","White","m",60.5,57.71,"Universitaria"
"CS2849",21,"Private",10,"S","Husband","Service","White","f",37.5,36.55,"Universitaria"
"CS2850",37,"Private",12,"M","Own-child","Blue-Collar","White","m",40.5,53.45,"Universitaria"
"CS2851",20,"Government",10,"S","Husband","Professional","White","f",20,42.98,"Universitaria"
"CS2852",54,"Self-Employed",9,"M","Own-child","Sales","White","f",30.5,41.15,"Secundaria"
"CS2853",28,"Private",9,"X","Wife","Sales","White","f",40,37.67,"Secundaria"
"CS2854",27,"Private",10,"S","Other-relative","Professional","White","m",40.5,50.62,"Universitaria"
"CS2855",33,"Private",11,"S","Not-in-family","Service","Black","f",40,43.06,"Universitaria"
"CS2856",46,"Other/Unknown",9,"M","Unmarried","Other/Unknown","White","m",40.5,53.24,"Secundaria"
"CS2857",28,"Other/Unknown",7,"D","Husband","Other/Unknown","White","f",58,34.76,"Secundaria"
"CS2858",17,"Other/Unknown",6,"S","Unmarried","Other/Unknown","White","m",40.5,44.66,"Primaria"
"CS2859",40,"Self-Employed",15,"S","Own-child","Professional","White","m",45.5,46.8,"Postuniversitaria"
"CS2860",47,"Private",14,"M","Not-in-family","Sales","White","m",40.5,55.33,"Postuniversitaria"
"CS2861",44,"Private",2,"S","Husband","Blue-Collar","White","f",40,39.02,"Primaria"
"CS2862",25,"Private",8,"S","Not-in-family","Blue-Collar","White","m",43.5,51.08,"Secundaria"
"CS2863",35,"Private",13,"M","Unmarried","Professional","White","m",55,53.01,"Universitaria"
"CS2864",29,"Private",10,"M","Husband","Sales","White","f",25.5,44.13,"Universitaria"
"CS2865",30,"Private",9,"D","Wife","Blue-Collar","White","m",40,51.72,"Secundaria"
"CS2866",30,"Private",10,"M","Unmarried","Blue-Collar","White","m",40,54.31,"Universitaria"
"CS2867",56,"Self-Employed",4,"D","Husband","Service","White","f",40.5,34.97,"Primaria"
"CS2868",25,"Self-Employed",13,"S","Unmarried","Professional","White","m",30.5,46.83,"Universitaria"
"CS2869",28,"Private",9,"S","Own-child","Blue-Collar","Black","m",40.5,46.1,"Secundaria"
"CS2870",43,"Self-Employed",5,"M","Own-child","Blue-Collar","White","m",40,48.82,"Primaria"
"CS2871",47,"Government",9,"M","Husband","Service","White","m",60.5,61.92,"Secundaria"
"CS2872",46,"Self-Employed",13,"M","Husband","Blue-Collar","White","m",40.5,52.06,"Universitaria"
"CS2873",41,"Government",14,"D","Husband","Professional","White","f",35.5,45.97,"Postuniversitaria"
"CS2874",38,"Government",12,"M","Unmarried","White-Collar","White","f",33.5,47.73,"Universitaria"
"CS2875",29,"Private",9,"S","Wife","Service","Black","m",40.5,38.55,"Secundaria"
"CS2876",25,"Private",3,"S","Other-relative","Blue-Collar","White","m",40,50.34,"Primaria"
"CS2877",56,"Private",7,"M","Not-in-family","Blue-Collar","White","m",45.5,56.21,"Secundaria"
"CS2878",31,"Private",4,"M","Husband","Blue-Collar","White","m",40.5,54.19,"Primaria"
"CS2879",22,"Private",7,"S","Husband","Service","White","m",40,46.1,"Secundaria"
"CS2880",31,"Private",9,"S","Other-relative","Blue-Collar","White","m",40,47.23,"Secundaria"
"CS2881",28,"Private",10,"X","Other-relative","White-Collar","White","f",40.5,40.99,"Universitaria"
"CS2882",53,"Private",13,"M","Not-in-family","White-Collar","Black","m",40.5,50.36,"Universitaria"
"CS2883",45,"Private",14,"D","Husband","White-Collar","White","f",50.5,47.43,"Postuniversitaria"
"CS2884",71,"Private",1,"W","Not-in-family","Blue-Collar","Black","m",10.5,42.91,"Primaria"
"CS2885",65,"Other/Unknown",9,"W","Unmarried","Other/Unknown","White","f",40,35.83,"Secundaria"
"CS2886",39,"Private",9,"M","Unmarried","Blue-Collar","White","m",50,55.16,"Secundaria"
"CS2887",19,"Government",9,"M","Husband","Sales","White","f",40,45.23,"Secundaria"
"CS2888",34,"Government",13,"D","Wife","Professional","White","f",40.5,45.37,"Universitaria"
"CS2889",36,"Private",9,"M","Unmarried","White-Collar","White","m",45.5,60.29,"Secundaria"
"CS2890",40,"Private",9,"M","Husband","Service","White","f",40,40.74,"Secundaria"
"CS2891",76,"Private",10,"X","Own-child","White-Collar","White","f",40.5,44.59,"Universitaria"
"CS2892",56,"Private",15,"M","Own-child","White-Collar","White","m",16,58.97,"Postuniversitaria"
"CS2893",21,"Private",9,"S","Husband","Professional","White","f",40.5,35.94,"Secundaria"
"CS2894",48,"Private",13,"M","Not-in-family","White-Collar","White","m",45.5,56.98,"Universitaria"
"CS2895",45,"Private",10,"X","Husband","White-Collar","White","f",27.5,43.66,"Universitaria"
"CS2896",46,"Private",9,"M","Unmarried","Blue-Collar","White","m",40,56.22,"Secundaria"
"CS2897",64,"Private",6,"X","Husband","Service","White","f",35.5,40.11,"Primaria"
"CS2898",29,"Government",14,"S","Not-in-family","Professional","Asian-Pac-Islander","m",40.5,43.98,"Postuniversitaria"
"CS2899",22,"Private",9,"D","Own-child","Service","White","f",30.5,41.26,"Secundaria"
"CS2900",47,"Private",9,"M","Unmarried","Blue-Collar","White","m",48,53.91,"Secundaria"
"CS2901",67,"Self-Employed",13,"M","Husband","White-Collar","White","m",75.5,54.1,"Universitaria"
"CS2902",43,"Private",9,"M","Husband","Blue-Collar","White","m",40,51.39,"Secundaria"
"CS2903",42,"Private",10,"M","Husband","Sales","White","m",40.5,54.77,"Universitaria"
"CS2904",31,"Private",10,"M","Husband","Service","White","m",50.5,53.14,"Universitaria"
"CS2905",53,"Private",7,"D","Husband","Service","White","f",40.5,38.7,"Secundaria"
"CS2906",76,"Private",5,"W","Unmarried","Service","Black","f",5.5,37.04,"Primaria"
"CS2907",33,"Government",9,"D","Not-in-family","White-Collar","White","f",40,51.15,"Secundaria"
"CS2908",17,"Private",8,"S","Own-child","Service","White","f",8.5,38.63,"Secundaria"
"CS2909",55,"Self-Employed",15,"M","Own-child","White-Collar","White","m",50.5,54.79,"Postuniversitaria"
"CS2910",28,"Private",9,"S","Husband","Blue-Collar","White","m",30.5,47.75,"Secundaria"
"CS2911",24,"Private",10,"S","Own-child","Sales","White","f",40.5,40.19,"Universitaria"
"CS2912",40,"Private",9,"X","Own-child","White-Collar","White","f",45.5,44.46,"Secundaria"
"CS2913",30,"Government",14,"S","Unmarried","White-Collar","White","f",40.5,47.42,"Postuniversitaria"
"CS2914",24,"Private",7,"S","Not-in-family","Blue-Collar","White","f",40.5,40.88,"Secundaria"
"CS2915",26,"Private",14,"M","Unmarried","Sales","White","f",40,39.27,"Postuniversitaria"
"CS2916",38,"Private",10,"D","Wife","Sales","White","f",38.5,38.05,"Universitaria"
"CS2917",30,"Private",9,"M","Unmarried","Service","White","m",40.5,52.76,"Secundaria"
"CS2918",33,"Private",13,"M","Husband","White-Collar","White","m",50.5,58.37,"Universitaria"
"CS2919",40,"Private",9,"M","Husband","Sales","White","m",60,50.23,"Secundaria"
"CS2920",63,"Self-Employed",9,"M","Husband","Blue-Collar","White","m",40,56.65,"Secundaria"
"CS2921",23,"Private",4,"S","Husband","Blue-Collar","White","m",36.5,51.34,"Primaria"
"CS2922",56,"Private",9,"D","Other-relative","Blue-Collar","Black","m",40,42.79,"Secundaria"
"CS2923",42,"Self-Employed",11,"M","Unmarried","White-Collar","White","m",60,55.1,"Universitaria"
"CS2924",40,"Private",9,"S","Husband","Blue-Collar","White","m",40,52.65,"Secundaria"
"CS2925",49,"Private",12,"M","Not-in-family","Sales","White","f",40,45.12,"Universitaria"
"CS2926",35,"Private",9,"M","Wife","Blue-Collar","Asian-Pac-Islander","m",40,44.48,"Secundaria"
"CS2927",52,"Private",9,"D","Not-in-family","Blue-Collar","Black","f",35,40.64,"Secundaria"
"CS2928",28,"Private",13,"S","Own-child","White-Collar","White","f",40,44.76,"Universitaria"
"CS2929",35,"Private",6,"M","Own-child","Blue-Collar","White","m",70.5,51.18,"Primaria"
"CS2930",21,"Other/Unknown",10,"S","Husband","Other/Unknown","White","f",5.5,31.98,"Universitaria"
"CS2931",43,"Self-Employed",9,"S","Own-child","Blue-Collar","White","m",35.5,49.68,"Secundaria"
"CS2932",32,"Other/Unknown",11,"S","Not-in-family","Other/Unknown","White","f",2.5,31.02,"Universitaria"
"CS2933",29,"Self-Employed",15,"S","Unmarried","Professional","White","m",50.5,45.62,"Postuniversitaria"
"CS2934",23,"Private",13,"S","Own-child","Blue-Collar","White","m",25.5,50.99,"Universitaria"
"CS2935",50,"Government",10,"M","Own-child","White-Collar","White","m",48.5,61.44,"Universitaria"
"CS2936",34,"Private",10,"S","Husband","Service","Black","m",40.5,36.81,"Universitaria"
"CS2937",19,"Private",9,"S","Own-child","Service","White","m",40,48.58,"Secundaria"
"CS2938",47,"Private",7,"M","Own-child","Blue-Collar","Black","f",40.5,42.74,"Secundaria"
"CS2939",37,"Self-Employed",10,"M","Wife","Blue-Collar","White","m",40.5,52.09,"Universitaria"
"CS2940",25,"Private",9,"S","Husband","Sales","Black","f",35,37.2,"Secundaria"
"CS2941",75,"Private",10,"M","Unmarried","White-Collar","White","m",35.5,59.79,"Universitaria"
"CS2942",24,"Private",9,"M","Husband","Blue-Collar","White","m",40.5,54.58,"Secundaria"
"CS2943",28,"Government",13,"S","Husband","Service","Asian-Pac-Islander","m",20.5,42.7,"Universitaria"
"CS2944",17,"Government",7,"S","Own-child","Service","White","f",16.5,43.47,"Secundaria"
"CS2945",31,"Private",9,"S","Own-child","Blue-Collar","Black","m",40,43.66,"Secundaria"
"CS2946",31,"Private",1,"S","Own-child","Service","White","f",35.5,36.54,"Primaria"
"CS2947",18,"Other/Unknown",9,"S","Other-relative","Other/Unknown","White","m",10.5,44.58,"Secundaria"
"CS2948",45,"Private",13,"M","Own-child","Professional","White","m",55.5,56.17,"Universitaria"
"CS2949",31,"Private",9,"S","Husband","Blue-Collar","White","m",42.5,53.65,"Secundaria"
"CS2950",27,"Private",13,"M","Own-child","Professional","White","m",42.5,53.99,"Universitaria"
"CS2951",48,"Private",10,"W","Husband","White-Collar","Black","f",38.5,44.67,"Universitaria"
"CS2952",22,"Other/Unknown",9,"M","Unmarried","Other/Unknown","White","f",22.5,42.05,"Secundaria"
"CS2953",34,"Private",13,"M","Wife","Service","Black","m",30,43.89,"Universitaria"
"CS2954",26,"Private",9,"S","Husband","Blue-Collar","Black","f",40.5,43.35,"Secundaria"
"CS2955",53,"Private",10,"M","Unmarried","Professional","White","m",40.5,52.68,"Universitaria"
"CS2956",60,"Private",13,"M","Husband","White-Collar","White","m",35,62.3,"Universitaria"
"CS2957",49,"Government",14,"X","Husband","Professional","White","f",50,43.98,"Postuniversitaria"
"CS2958",40,"Private",10,"D","Unmarried","White-Collar","White","f",40.5,42.87,"Universitaria"
"CS2959",48,"Self-Employed",6,"M","Not-in-family","Blue-Collar","White","m",40.5,54.77,"Primaria"
"CS2960",23,"Private",13,"S","Husband","Professional","White","m",50.5,52.15,"Universitaria"
"CS2961",68,"Other/Unknown",4,"W","Not-in-family","Other/Unknown","Black","m",10,37.18,"Primaria"
"CS2962",42,"Private",11,"M","Not-in-family","Professional","White","m",40.5,54.42,"Universitaria"
"CS2963",37,"Self-Employed",9,"S","Husband","Blue-Collar","White","m",45,49.93,"Secundaria"
"CS2964",27,"Private",9,"S","Own-child","Blue-Collar","White","f",45.5,45.06,"Secundaria"
"CS2965",38,"Private",10,"M","Own-child","White-Collar","White","m",44.5,54.69,"Universitaria"
"CS2966",27,"Private",9,"S","Husband","Blue-Collar","White","m",35.5,48.68,"Secundaria"
"CS2967",75,"Private",9,"W","Not-in-family","White-Collar","White","f",40.5,42.18,"Secundaria"
"CS2968",49,"Self-Employed",13,"M","Not-in-family","Sales","White","m",52,52.98,"Universitaria"
"CS2969",27,"Private",10,"S","Husband","Sales","White","m",20,47.02,"Universitaria"
"CS2970",36,"Self-Employed",13,"S","Not-in-family","Blue-Collar","White","m",50.5,49.35,"Universitaria"
"CS2971",36,"Private",13,"M","Not-in-family","Professional","White","m",45.5,58.03,"Universitaria"
"CS2972",35,"Private",9,"D","Husband","Blue-Collar","White","m",35.5,50.73,"Secundaria"
"CS2973",36,"Private",9,"M","Own-child","Sales","White","m",40,56.12,"Secundaria"
"CS2974",53,"Private",7,"M","Husband","Blue-Collar","Black","m",40.5,44.14,"Secundaria"
"CS2975",27,"Private",10,"S","Husband","White-Collar","Black","f",40.5,45.75,"Universitaria"
"CS2976",34,"Private",9,"D","Unmarried","Blue-Collar","White","m",35.5,52.51,"Secundaria"
"CS2977",61,"Private",10,"M","Not-in-family","Sales","White","m",44.5,52.47,"Universitaria"
"CS2978",29,"Private",9,"D","Husband","Blue-Collar","White","m",56,51.99,"Secundaria"
"CS2979",40,"Government",10,"D","Unmarried","White-Collar","Black","f",35.5,51.03,"Universitaria"
"CS2980",37,"Private",14,"S","Unmarried","White-Collar","White","m",40.5,58.06,"Postuniversitaria"
"CS2981",22,"Private",5,"S","Not-in-family","Blue-Collar","White","m",30.5,45.75,"Primaria"
"CS2982",43,"Self-Employed",10,"M","Other-relative","White-Collar","White","m",40.5,61.43,"Universitaria"
"CS2983",55,"Self-Employed",9,"M","Husband","Blue-Collar","White","m",30,57.5,"Secundaria"
"CS2984",28,"Private",10,"D","Husband","White-Collar","White","f",40,43.09,"Universitaria"
"CS2985",23,"Private",13,"S","Unmarried","Service","White","f",30,38.49,"Universitaria"
"CS2986",64,"Government",7,"M","Own-child","Blue-Collar","Black","m",40,49.96,"Secundaria"
"CS2987",46,"Private",10,"S","Husband","Blue-Collar","White","m",40.5,51.49,"Universitaria"
"CS2988",29,"Private",10,"S","Not-in-family","Blue-Collar","White","m",40,52.65,"Universitaria"
"CS2989",44,"Private",14,"M","Own-child","White-Collar","Asian-Pac-Islander","m",48,49.81,"Postuniversitaria"
"CS2990",20,"Private",10,"S","Husband","Professional","White","m",25.5,48.83,"Universitaria"
"CS2991",62,"Self-Employed",10,"D","Own-child","Sales","White","m",40.5,50.12,"Universitaria"
"CS2992",49,"Private",11,"S","Not-in-family","White-Collar","White","f",35.5,39.52,"Universitaria"
"CS2993",29,"Private",6,"M","Unmarried","Blue-Collar","Amer-Indian-Eskimo","f",40.5,40.95,"Primaria"
"CS2994",35,"Self-Employed",13,"M","Wife","Sales","White","m",60,51.17,"Universitaria"
"CS2995",39,"Government",7,"M","Husband","Blue-Collar","White","m",30,56.67,"Secundaria"
"CS2996",39,"Private",13,"S","Husband","White-Collar","White","m",45.5,56.67,"Universitaria"
"CS2997",37,"Private",9,"D","Not-in-family","Blue-Collar","White","f",32,40.97,"Secundaria"
"CS2998",38,"Private",9,"M","Other-relative","Blue-Collar","White","m",30,53.97,"Secundaria"
"CS2999",72,"Other/Unknown",9,"M","Husband","Other/Unknown","White","m",8,51.57,"Secundaria"
"CS3000",31,"Private",4,"M","Husband","Blue-Collar","White","m",40.5,55.04,"Primaria"
"CS3001",55,"Private",4,"M","Husband","Blue-Collar","White","m",60.5,54.39,"Primaria"
"CS3002",38,"Private",10,"X","Husband","Service","White","f",40,37.78,"Universitaria"
"CS3003",33,"Private",10,"D","Unmarried","Sales","White","f",25,35.94,"Universitaria"
"CS3004",25,"Private",12,"S","Not-in-family","White-Collar","White","f",40,42.28,"Universitaria"
"CS3005",19,"Other/Unknown",10,"S","Not-in-family","Other/Unknown","White","m",30.5,49.77,"Universitaria"
"CS3006",37,"Private",11,"D","Own-child","Service","White","f",52.5,40.01,"Universitaria"
"CS3007",49,"Private",10,"D","Unmarried","Service","White","m",35.5,51.45,"Universitaria"
"CS3008",26,"Private",9,"S","Other-relative","Blue-Collar","White","m",40,50.4,"Secundaria"
"CS3009",35,"Private",9,"M","Other-relative","Blue-Collar","White","m",43.5,56.35,"Secundaria"
"CS3010",44,"Self-Employed",9,"M","Husband","Sales","White","f",60,39.8,"Secundaria"
"CS3011",37,"Private",14,"X","Wife","White-Collar","White","m",45,57.53,"Postuniversitaria"
"CS3012",42,"Private",13,"M","Not-in-family","Professional","White","m",45.5,53.63,"Universitaria"
"CS3013",64,"Government",16,"S","Husband","Professional","White","f",40.5,42.66,"Postuniversitaria"
"CS3014",28,"Private",9,"M","Not-in-family","Blue-Collar","White","m",40,56.63,"Secundaria"
"CS3015",35,"Self-Employed",9,"S","Husband","White-Collar","White","m",50,49.86,"Secundaria"
"CS3016",40,"Government",13,"M","Not-in-family","White-Collar","White","m",40.5,65.36,"Universitaria"
"CS3017",55,"Government",13,"M","Husband","Professional","White","m",40.5,59.13,"Universitaria"
"CS3018",21,"Private",9,"S","Husband","Blue-Collar","White","m",65.5,54.28,"Secundaria"
"CS3019",49,"Private",10,"S","Own-child","White-Collar","Black","f",40.5,44.47,"Universitaria"
"CS3020",51,"Government",16,"M","Not-in-family","Professional","White","m",40.5,58.99,"Postuniversitaria"
"CS3021",57,"Private",15,"M","Husband","Blue-Collar","Asian-Pac-Islander","m",40,49.51,"Postuniversitaria"
"CS3022",51,"Private",13,"M","Husband","Blue-Collar","White","m",40,55.84,"Universitaria"
"CS3023",38,"Private",6,"S","Husband","Blue-Collar","Black","m",40.5,45.57,"Primaria"
"CS3024",24,"Private",9,"S","Not-in-family","Sales","White","f",32,37.76,"Secundaria"
"CS3025",45,"Self-Employed",9,"M","Own-child","Blue-Collar","White","m",40.5,48.28,"Secundaria"
"CS3026",28,"Private",9,"M","Husband","Blue-Collar","White","m",45.5,54.04,"Secundaria"
"CS3027",42,"Self-Employed",15,"M","Husband","Professional","White","m",60,49.45,"Postuniversitaria"
"CS3028",22,"Private",10,"S","Husband","Service","White","m",40,43.6,"Universitaria"
"CS3029",28,"Government",14,"M","Not-in-family","White-Collar","White","m",40.5,62.5,"Postuniversitaria"
"CS3030",60,"Private",9,"W","Husband","Blue-Collar","White","f",40,43.59,"Secundaria"
"CS3031",31,"Private",9,"X","Unmarried","Blue-Collar","White","f",40.5,39.4,"Secundaria"
"CS3032",47,"Private",10,"M","Unmarried","Blue-Collar","White","m",75,54.1,"Universitaria"
"CS3033",40,"Other/Unknown",9,"D","Husband","Other/Unknown","White","m",25,44.54,"Secundaria"
"CS3034",30,"Private",9,"M","Not-in-family","White-Collar","White","m",60.5,54.39,"Secundaria"
"CS3035",61,"Private",14,"M","Husband","Sales","White","m",60.5,56.38,"Postuniversitaria"
